,SubjectID,StimulusType,RT,accuracy
0,1.0,0.0,316.67,0.85
1,1.0,1.0,357.0,1.0
2,2.0,0.0,263.45,0.45
3,2.0,1.0,343.05,1.0
4,3.0,0.0,181.0,0.85
5,3.0,1.0,330.24,1.0
6,4.0,0.0,339.0,0.95
7,4.0,1.0,339.01,1.0
8,5.0,0.0,271.0,0.95
9,5.0,1.0,299.06,1.0
10,6.0,0.0,254.0,0.9
11,6.0,1.0,311.38,1.0
